IndependentA,IndependentB,IndependentC,IndependentD,ControlA,ControlB,ControlC,Dependentvariable
0.169116,0.518273,0.199406,512.87931,420.9639893,21621.99512,10467.67677,9.656603958
0.176343,0.529173,0.185758,580.717833,923.3410034,27965.55273,9692.783505,11.64602937
0.174803,0.370019,0.159217,1455.699069,2276.590088,34505.82617,8164.705882,3.309078422
0.158179,0.546274,0.034549,2004.477881,432.0450134,31083.11523,1788.888889,5.69473441
0.15464,3.808347,0.018706,1269.427606,303.4880066,45157.15625,9230,7.90569415
0.145692,3.910599,1.00E-06,845.420838,74998.39844,39030.41602,18427.27273,21.74511439
1.290445,2.365499,0.004573,178.803338,42.0200996,38670.67578,308,1.587450787
0.821915,1.71846,0.007364,114.43567,334.17099,41199.76563,709.803922,7.370210309
0.320357,1.005381,0.279946,161.333385,90202,34826.64453,9743,10.85357084
0.40164,0.766576,0.287965,131.634051,93944.5,39318.50781,28956.43564,27.99937499
0.545976,1.140992,0.310276,356.769733,101637,40482.0293,18911.34021,18.69331431
0.662322,3.367692,0.324845,334.710329,101637,45797.45019,20163.26531,11.24388723
0.710205,6.251978,0.32082,268.595004,194.0019989,51954.32227,21366,25.66758656
0.715933,11.332079,0.301057,309.862386,116902,42619.12207,8949.514563,5.405552701
0.640541,0.002461,0.233668,243.608549,116902,73737.04981,8352.525253,5.224461695
0.545589,1.322166,0.254303,104.342822,116902,72853.15039,10118.5567,14.77836256
0.439429,3.940616,0.331537,112.345102,116902,74308.94238,19361.76471,12.90929897
0.404619,3.98323,0.408532,406.422218,139433,63763.76563,18247,10.9672239
0.481889,1.578356,0.534457,516.267144,159874,82960.68555,19394,14.03602508
0.615087,0.370303,0.656998,139.597435,163686,76841.89063,17934.02062,20.174241
0.761466,2.719044,0.765497,111.985986,166369,104324.2285,21111.11111,46.1356695
0.899034,6.222566,0.856421,376.074604,169550,108784.9023,15101.9802,21.01190139
1.03264,3.464203,0.916671,248.049418,169550,108165.3027,11070.58823,8.217055434
1.200178,3.746212,0.949555,235.68481,1347.069946,118667.5781,13665.30612,11.18033989
1.557203,7.826191,0.940037,301.429086,198880,110738.5996,24082.65306,2.147091055
2.075647,17.576584,0.895053,79.328102,191033,143330.0313,16888.88889,30.67246322
2.476684,32.284108,0.843278,117.381486,169648,141312.75,13518.81188,17.76935564
3.008359,16.366262,0.745126,389.288534,226.9839935,141361.9375,3018.811881,34.64101615
3.369873,15.910717,0.640889,105.157082,179080,120680.0996,4067.346939,6.45368112
3.413676,51.798287,0.555419,263.716115,172.7129974,134189.9063,8916.161616,12.61606119
